#options: 3840x2160 fps=50/1 timebase=1/50 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:36 out:33 type:P dur:2 cpbdur:2 q:24.13 aq:11.03 tex:107828 mv:30411 misc:6513 imb:1368 pmb:2438 smb:28594 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:24.00 aq:14.21 tex:17720 mv:13015 misc:6249 imb:52 pmb:1883 smb:30465 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:23.94 aq:13.79 tex:3036 mv:2821 misc:2863 imb:11 pmb:373 smb:32016 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:24.07 aq:13.93 tex:7096 mv:7503 misc:5105 imb:39 pmb:1212 smb:31149 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:24.32 aq:11.56 tex:144559 mv:37449 misc:4656 imb:3337 pmb:1991 smb:27072 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:24.23 aq:15.03 tex:63453 mv:36735 misc:7108 imb:496 pmb:3248 smb:28656 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:24.18 aq:15.47 tex:36681 mv:31358 misc:7217 imb:235 pmb:2955 smb:29210 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:24.27 aq:15.11 tex:21829 mv:24044 misc:6511 imb:264 pmb:2332 smb:29804 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:23.88 aq:10.46 tex:123890 mv:29315 misc:5675 imb:1195 pmb:2048 smb:29157 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:24.10 aq:14.61 tex:37991 mv:25232 misc:5913 imb:251 pmb:2174 smb:29975 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:24.21 aq:15.43 tex:17534 mv:17594 misc:5424 imb:143 pmb:1692 smb:30565 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:23.99 aq:16.31 tex:14280 mv:14618 misc:4830 imb:69 pmb:1402 smb:30929 d:- ref:0 ;
